"poly_id","B2_mean","B2_stdDev","B2_count","B3_mean","B3_stdDev","B3_count","B4_mean","B4_stdDev","B4_count","B5_mean","B5_stdDev","B5_count","B6_mean","B6_stdDev","B6_count","B7_mean","B7_stdDev","B7_count","B8_mean","B8_stdDev","B8_count","B8A_mean","B8A_stdDev","B8A_count","B11_mean","B11_stdDev","B11_count","B12_mean","B12_stdDev","B12_count","NDVI_mean","NDVI_stdDev","NDVI_count","NDMI_mean","NDMI_stdDev","NDMI_count","NBR_mean","NBR_stdDev","NBR_count","NDRE1_mean","NDRE1_stdDev","NDRE1_count","GNDVI_mean","GNDVI_stdDev","GNDVI_count","MSI_mean","MSI_stdDev","MSI_count","SWIRR_mean","SWIRR_stdDev","SWIRR_count","EVI_mean","EVI_stdDev","EVI_count"
"P021",0.0226443004083927,0.00901288420112757,2835,0.0394863010758663,0.0135503429459531,2835,0.0233483534185021,0.0129252664032052,2835,0.0656880686544897,0.0223502400681616,2835,0.170210912606961,0.050435962823292,2835,0.196468228121544,0.0570245271693866,2835,0.203710762295646,0.0619533580403141,2835,0.213386730923235,0.0609595724526343,2835,0.0881723734995245,0.0344555617734213,2835,0.0437615572925702,0.0211678901077764,2835,0.797159081701363,0.0702269245872834,2835,0.401119264912653,0.0947913356594399,2835,0.652315141757215,0.0920629009173678,2835,0.513196266866675,0.0646219269509125,2835,0.675865072234336,0.0470147243034734,2835,0.434682997281008,0.110218852241992,2835,2.07722060986725,0.175997993254933,2835,0.379914756090074,0.0947554016908038,2835
"P022",0.0169170519321974,0.00378598845697546,4154,0.0307789931026096,0.00618914976113311,4154,0.0152253806197269,0.0055287288837308,4154,0.0524785316893389,0.0102093386725027,4154,0.172948678398955,0.026243264577857,4154,0.207011785499609,0.0319793460154048,4154,0.217475809158537,0.0368099551594368,4154,0.223163069568641,0.0339476345437756,4154,0.0662839694171252,0.018264669981325,4154,0.028103425196419,0.0120866018198497,4154,0.866128917684967,0.0496486731821616,4154,0.529065669950936,0.0876879510992734,4154,0.767657062829794,0.0793736308803841,4154,0.607654623271283,0.0581034654620007,4154,0.748895066460133,0.0469533081418481,4154,0.313531633541819,0.108006260048186,4154,2.39859313426027,0.180375600605234,4154,0.426074743048286,0.0658236204861665,4154
"P023",0.0181309421194544,0.00930374188287677,322,0.0280819440945689,0.0113210932001188,322,0.0183030223720811,0.0100839095538343,322,0.0453582681350094,0.0125746475114763,322,0.128720745189142,0.0434139977597358,322,0.15445488338434,0.0532065575268891,322,0.16407037729287,0.0650555645719319,322,0.171148259246666,0.0589784974898862,322,0.0705100140995888,0.0171485019127608,322,0.0332125602722773,0.00828408376627378,322,0.755575873137738,0.209806095239184,322,0.356258543281218,0.173153372513399,322,0.620843716944311,0.16824251108646,322,0.524528062605099,0.184331446380494,322,0.664130510451333,0.211650930558348,322,0.512030933993612,0.307981398892805,322,2.12913927269158,0.229480352176416,322,0.313058925985067,0.130658867769634,322
"P024",0.0152658620658749,0.0091729488794398,1742,0.0304572170684516,0.0149235220073773,1742,0.0184005916393203,0.0132525988308154,1742,0.0567214302897014,0.0262992680275109,1742,0.169212378100657,0.0625925999312867,1742,0.203736568634028,0.0732375913927714,1742,0.218213907407379,0.0855994174837184,1742,0.227320218311821,0.0803542594351999,1742,0.0913417332931066,0.0398753953202271,1742,0.0412563254666843,0.0221314690875908,1742,0.850851473370284,0.0581142312640413,1742,0.404214881477163,0.110782822987002,1742,0.680055854442924,0.0896586004862658,1742,0.589736739723303,0.0755452945460504,1742,0.760192331589827,0.0491610655810303,1742,0.433747338273354,0.123579122779909,1742,2.2799339275644,0.190184702470564,1742,0.402889915286857,0.125192981078357,1742
"P025",0.0145933927829206,0.00709743414151238,2941,0.0296158356197357,0.0114482369715544,2941,0.0177058060133622,0.0103036026315877,2941,0.0542894938956389,0.0176146022396199,2941,0.165433108026515,0.0411523342641785,2941,0.199963362404732,0.046982311681385,2941,0.213309464262035,0.0577717739689037,2941,0.221800804305218,0.0508741005562274,2941,0.0820685837972495,0.0224139976724297,2941,0.0376619328630972,0.0133046188305587,2941,0.848636589707838,0.0699247058341234,2941,0.436239131586086,0.100601505899855,2941,0.694034310064732,0.0864097023672094,2941,0.593030177222333,0.0708176078488433,2941,0.758970545901184,0.0557383154600472,2941,0.400260380627169,0.110019856531618,2941,2.2246942177851,0.183894601785296,2941,0.400237578519555,0.0919868527722067,2941
"P026",0.0165292205687804,0.00252638576382327,234,0.0354471781110024,0.00493650356537128,234,0.0172573947870148,0.00292797256425736,234,0.0620557314698685,0.00795501085472944,234,0.202291091638899,0.0340451094734824,234,0.24538258398591,0.0433405774796297,234,0.265572556894376,0.0518885506943453,234,0.271051261920661,0.0458993326434985,234,0.0806643037372178,0.0109780977453509,234,0.0331859164212375,0.00483965332518251,234,0.87549851154434,0.0248164604785229,234,0.529057336651386,0.0514620327450982,234,0.77393991330549,0.0362572560754789,234,0.616972238374862,0.037343596786472,234,0.761541961398526,0.0283183433576666,234,0.309394329282999,0.043993083662134,234,2.4374179177316,0.131598161559678,234,0.495752606424508,0.0831042007530717,234
"P027",0.0127737789663698,0.00158635882526785,238,0.0289218098866405,0.00388779847511828,238,0.0132325694482138,0.00210199871825642,238,0.0523917956829775,0.00680260475846234,238,0.186572307125376,0.0164026679982318,238,0.232502968303945,0.0186207876698532,238,0.251830410685762,0.02566678160138,238,0.257570416301869,0.0211526029544894,238,0.0706419598697702,0.0100244174764094,238,0.0271880771069161,0.00456672187793158,238,0.900026880741665,0.0108040700535134,238,0.561058396725057,0.0479194760513987,238,0.804368369640986,0.0294832574471306,238,0.655311298231105,0.0297839924593143,238,0.794053288841436,0.0149637694234897,238,0.282183940108076,0.0420814477433123,238,2.60351530689718,0.0854822536274365,238,0.482102116252147,0.0391302205179833,238
"P028",0.0206008903650238,0.00936076776801963,388,0.0413074898973531,0.0129572487604288,388,0.0263057693680355,0.0143370517899077,388,0.0784469819978009,0.0233062653481516,388,0.216232641995815,0.0474442650591447,388,0.258080979376409,0.0555914564118211,388,0.277701444630624,0.0657035922191307,388,0.289391238968836,0.060680145343171,388,0.121578605830214,0.0417300525281804,388,0.0570099061523652,0.025333008136597,388,0.829367880884425,0.0757130580049652,388,0.393345886724511,0.126436773399756,388,0.660755013982109,0.112213062354941,388,0.558893182597066,0.0784138642374218,388,0.741529272825026,0.0509433544358588,388,0.448386186818768,0.137266788548623,388,2.22624539719819,0.247113753036121,388,0.486381370583169,0.101723245542276,388
"P029",0.0184008769326379,0.00571193745101033,207,0.0395967902361709,0.0107888359230549,207,0.0236166790506792,0.00818545193530401,207,0.0756577433433181,0.0210674077682732,207,0.224887558300518,0.0621283392520752,207,0.269863159056052,0.0736223644968397,207,0.29104412593389,0.081095411031628,207,0.301571389002951,0.0800615302890321,207,0.123653123218609,0.0322222031703916,207,0.0560519042189007,0.0152023161964004,207,0.8495548152622,0.0343167313460126,207,0.400454970641305,0.0552323618241794,207,0.674321816493222,0.0446729510357949,207,0.586190929212338,0.0486432121490051,207,0.75906510745635,0.0316758210858681,207,0.429999965848385,0.0570426543407605,207,2.21165880622631,0.107259386006248,207,0.509248346780624,0.115448787666878,207
"P030",0.0121053610955739,0.00243160173858194,549,0.0283887573702768,0.00453422462072189,549,0.0136109713375195,0.00307890988556654,549,0.0535951132995467,0.00768854351745672,549,0.182843747870319,0.0222804519037416,549,0.220984290046537,0.0259499939833886,549,0.237987373271336,0.0340059364687366,549,0.244413016964714,0.0285709691239594,549,0.0748452721638336,0.0135551145971317,549,0.0293282189333526,0.00661076981879338,549,0.891726781353882,0.0175007835652736,549,0.519448116284758,0.0677757134736902,549,0.778734318378194,0.0461131676867685,549,0.630990605678773,0.0333196713599708,549,0.786632013063505,0.0181760896250029,549,0.319076318284406,0.062290576688566,549,2.57308008034248,0.128529070682847,549,0.454968030482028,0.0541216813351492,549
