"poly_id","VV_gamma0_mean","VV_gamma0_stdDev","VV_gamma0_count","VH_gamma0_mean","VH_gamma0_stdDev","VH_gamma0_count","VV_tsd_mean","VV_tsd_stdDev","VV_tsd_count","VH_tsd_mean","VH_tsd_stdDev","VH_tsd_count","ALL_count","retained_frac"
"P047",-5.45793729314771,3.02732211215811,325,-12.3412037915269,2.91729435018232,325,2.30663226722093,0.33876224572209,325,2.50920694363393,0.381129943612905,325,325,1
"P048",-6.75776882405542,1.24436197590507,1414,-13.1502408967939,1.28938583840931,1414,2.00300239284913,0.14389980778661,1414,2.11380686141322,0.1620283066975,1414,1414,1
"P049",-7.25371351174955,3.22943589664518,1160,-13.7738173609565,3.22503174276585,1160,2.16009059925711,0.520483926913339,1160,2.39027295923227,0.58085040709918,1160,1176,0.9864
"P050",-7.48786241895898,3.27986193610561,445,-14.0183929384152,3.17326279129587,445,2.04101068309477,0.168559193389628,445,2.20094981086397,0.211304822355635,445,445,1
"P051",-7.25072516260145,0.672921972562082,809,-13.6388711898718,0.733539284891246,809,1.95888199034409,0.114654257092886,809,2.03710747654657,0.128214856080432,809,809,1
"P052",-6.7495122483579,1.41527820930135,365,-13.6052974135579,1.29028084253115,365,2.19092062010241,0.202717287437056,365,2.46060632533022,0.239732050589392,365,365,1
"P053",-9.62239827348141,1.22879068073571,1335,-16.0491390809508,1.17215186655912,1335,2.0254997344904,0.189711207034816,1335,2.23694839605992,0.17290583571843,1335,1335,1
"P054",-9.70612244579065,1.66271671920834,1422,-16.2222396512313,1.53971100915705,1422,2.09991314803358,0.30722290910167,1422,2.29286773846163,0.254259017857982,1422,1422,1
"P055",-9.51994053169657,2.92425441356975,447,-16.0369527988909,2.83337465131484,447,2.26598921530174,0.625346244458136,447,2.54828681923345,0.710112903421395,447,447,1
"P056",-9.69057669878964,2.99815632783099,1225,-16.247396461664,2.83579546848821,1225,2.2045168896486,0.525946712938259,1225,2.5560461492829,0.571601115393549,1225,1225,1
"P057",-7.5549107667026,1.42994209949592,3593,-14.1088647166479,1.29596058924342,3593,2.24846372318711,0.421402496435182,3593,2.48964835823732,0.419541271017805,3593,3597,0.9989
