"poly_id","maptile","year","density","projection","filename","s3Url"
"P073","092l048_3_3_1",2019,8,"utm10","bc_092l048_3_3_1_xyes_8_utm10_2019.laz","https://nrs.objectstore.gov.bc.ca/gdwuts/092/092l/2019/pointcloud/bc_092l048_3_3_1_xyes_8_utm10_2019.laz"
"P074","092l048_3_3_2",2019,8,"utm10","bc_092l048_3_3_2_xyes_8_utm10_2019.laz","https://nrs.objectstore.gov.bc.ca/gdwuts/092/092l/2019/pointcloud/bc_092l048_3_3_2_xyes_8_utm10_2019.laz"
"P075","092l051_2_1_1",2023,8,"utm9","bc_092l051_2_1_1_xyes_8_utm9_20231028_20231028.laz","https://nrs.objectstore.gov.bc.ca/gdwuts/092/092l/2023/pointcloud/bc_092l051_2_1_1_xyes_8_utm9_20231028_20231028.laz"
"P076","092l051_2_1_3",2023,8,"utm9","bc_092l051_2_1_3_xyes_8_utm9_20231028_20231028.laz","https://nrs.objectstore.gov.bc.ca/gdwuts/092/092l/2023/pointcloud/bc_092l051_2_1_3_xyes_8_utm9_20231028_20231028.laz"
"P076","092l051_1_2_4",2023,8,"utm9","bc_092l051_1_2_4_xyes_8_utm9_20231028_20231028.laz","https://nrs.objectstore.gov.bc.ca/gdwuts/092/092l/2023/pointcloud/bc_092l051_1_2_4_xyes_8_utm9_20231028_20231028.laz"
"P076","092l051_2_1_1",2023,8,"utm9","bc_092l051_2_1_1_xyes_8_utm9_20231028_20231028.laz","https://nrs.objectstore.gov.bc.ca/gdwuts/092/092l/2023/pointcloud/bc_092l051_2_1_1_xyes_8_utm9_20231028_20231028.laz"
"P077","092l051_2_1_1",2023,8,"utm9","bc_092l051_2_1_1_xyes_8_utm9_20231028_20231028.laz","https://nrs.objectstore.gov.bc.ca/gdwuts/092/092l/2023/pointcloud/bc_092l051_2_1_1_xyes_8_utm9_20231028_20231028.laz"
"P078","092e050_4_3_2",2019,8,"utm10","bc_092e050_4_3_2_xyes_8_utm10_2019.laz","https://nrs.objectstore.gov.bc.ca/gdwuts/092/092e/2019/pointcloud/bc_092e050_4_3_2_xyes_8_utm10_2019.laz"
"P078","092e050_4_4_1",2019,8,"utm10","bc_092e050_4_4_1_xyes_8_utm10_2019.laz","https://nrs.objectstore.gov.bc.ca/gdwuts/092/092e/2019/pointcloud/bc_092e050_4_4_1_xyes_8_utm10_2019.laz"
"P079","092e050_3_4_2",2019,8,"utm10","bc_092e050_3_4_2_xyes_8_utm10_2019.laz","https://nrs.objectstore.gov.bc.ca/gdwuts/092/092e/2019/pointcloud/bc_092e050_3_4_2_xyes_8_utm10_2019.laz"
